00VS               20080711                                                                                   
0601VSB0d       20080101000140100000010000 0000000000000000   
0601VSB0d       20080101000150100000010000 0000000000000000   
0601VSB0d       20080101000160100000010000 0000000000000000   
0601VSB0d       20080101000170100000010000 0000000000000000   
0601VSB0d       20080101000180100000010000 0000000000000000   
0601VSB0d       20080101000190100000010000 0000000000000000   
0601VSB0d       20080101000200100000010000 0000000000000000   
0601VSB0d       20080101000210100000010000 0000000000000000   
0601VSB0d       20080101000220100000010000 0000000000000000   
0601VSB0d       20080101000230100000010000 0000000000000000   
0601VSB0d       20080101000240100000010000 0000000000000009   
0601VSB0d       20080101000250100000010000 0000000000000031   
0601VSB0d       20080101000260100000010000 0000000000000054   
0601VSB0d       20080101000270100000010000 0000000000000074   
0601VSB0d       20080101000280100000010000 0000000000000112   
0601VSB0d       20080101000290100000010000 0000000000000145   
0601VSB0d       20080101000300100000010000 0000000000000181   
0601VSB0d       20080101000310100000010000 0000000000000213   
0601VSB0d       20080101000320100000010000 0000000000000244   
0601VSB0d       20080101000330100000010000 0000000000000278   
0601VSB0d       20080101000340100000010000 0000000000000307   
0601VSB0d       20080101000350100000010000 0000000000000340   
0601VSB0d       20080101000360100000010000 0000000000000373   
0601VSB0d       20080101000370100000010000 0000000000000406   
0601VSB0d       20080101000380100000010000 0000000000000431   
0601VSB0d       20080101000390100000010000 0000000000000454   
0601VSB0d       20080101000400100000010000 0000000000000475   
0601VSB0d       20080101000410100000010000 0000000000000498   
