00VD               20071108                                                                                   
0601VDA0+       20080101007300100000050000 0000287258903935   
0601VDA0+       20080101007350100000050000 0000289373403937   
0601VDA0+       20080101007400100000050000 0000291489903939   
0601VDA0+       20080101007450100000050000 0000293608403941   
0601VDA0+       20080101007500100000050000 0000295728903943   
0601VDA0+       20080101007550100000050000 0000297851403945   
0601VDA0+       20080101007600100000050000 0000299975903947   
0601VDA0+       20080101007650100000050000 0000302102403949   
0601VDA0+       20080101007700100000050000 0000304153903950   
0601VDA0+       20080101007750100000050000 0000306283903952   
0601VDA0+       20080101007800100000050000 0000308415903954   
0601VDA0+       20080101007850100000050000 0000310549903956   
0601VDA0+       20080101007900100000050000 0000312685903958   
0601VDA0+       20080101007950100000050000 0000314823903960   
0601VDA0+       20080101008000100042000000 0000316883903961   
0601VDB0+       20080101000000100000265000 0000000000000000   
0601VDB0+       20080101000265100000005000 0000000037100014   
0601VDB0+       20080101000270100000005000 0000000051300019   
0601VDB0+       20080101000275100000005000 0000000082500030   
0601VDB0+       20080101000280100000005000 0000000114800041   
0601VDB0+       20080101000285100000005000 0000000142500050   
0601VDB0+       20080101000290100000005000 0000000176900061   
0601VDB0+       20080101000295100000005000 0000000218300074   
0601VDB0+       20080101000300100000005000 0000000267000089   
0601VDB0+       20080101000305100000005000 0000000317300104   
0601VDB0+       20080101000310100000005000 0000000372100120   
0601VDB0+       20080101000315100000005000 0000000431600137   
0601VDB0+       20080101000320100000005000 0000000486500152   
0601VDB0+       20080101000325100000005000 0000000555900171   
0601VDB0+       20080101000330100000005000 0000000613900186   
0601VDB0+       20080101000335100000005000 0000000666800199   
0601VDB0+       20080101000340100000005000 0000000731200215   
0601VDB0+       20080101000345100000005000 0000000800600232   
0601VDB0+       20080101000350100000005000 0000000882200252   
0601VDB0+       20080101000355100000005000 0000000955200269   
0601VDB0+       20080101000360100000005000 0000001026200285   
0601VDB0+       20080101000365100000005000 0000001120800307   
0601VDB0+       20080101000370100000005000 0000001213900328   
0601VDB0+       20080101000375100000005000 0000001282800342   
0601VDB0+       20080101000380100000005000 0000001379700363   
0601VDB0+       20080101000385100000005000 0000001463300380   
