00SH               20081219                                                                                   
0601SHA0d       20090101002320100000005000 0000058690002527   
0601SHA0d       20090101002325100000005000 0000058860002529   
0601SHA0d       20090101002330100000005000 0000059000002529   
0601SHA0d       20090101002335100000005000 0000059150002530   
0601SHA0d       20090101002340100000005000 0000059320002532   
0601SHA0d       20090101002345100000005000 0000059460002533   
0601SHA0d       20090101002350100000005000 0000059600002533   
0601SHA0d       20090101002355100000005000 0000059770002535   
0601SHA0d       20090101002360100000005000 0000059910002536   
0601SHA0d       20090101002365100000005000 0000060090002538   
0601SHA0d       20090101002370100000005000 0000060230002539   
0601SHA0d       20090101002375100000005000 0000060370002539   
0601SHA0d       20090101002380100000005000 0000060540002541   
0601SHA0d       20090101002385100000005000 0000060680002542   
0601SHA0d       20090101002390100000005000 0000060830002543   
0601SHA0d       20090101002395100000005000 0000061000002544   
0601SHA0d       20090101002400100000005000 0000061140002545   
0601SHA0d       20090101002405100000005000 0000061280002545   
0601SHA0d       20090101002410100000005000 0000061450002547   
0601SHA0d       20090101002415100000005000 0000061600002548   
0601SHA0d       20090101002420100000005000 0000061770002550   
0601SHA0d       20090101002425100000005000 0000061910002550   
0601SHA0d       20090101002430100000005000 0000062050002551   
0601SHA0d       20090101002435100000005000 0000062220002553   
0601SHA0d       20090101002440100000005000 0000062370002554   
0601SHA0d       20090101002445100000005000 0000062510002554   
0601SHA0d       20090101002450100000005000 0000062680002556   
0601SHA0d       20090101002455100000005000 0000062820002556   
0601SHA0d       20090101002460100000005000 0000062990002558   
0601SHA0d       20090101002465100000005000 0000063140002559   
0601SHA0d       20090101002470100000005000 0000063280002559   
0601SHA0d       20090101002475100000005000 0000063450002561   
0601SHA0d       20090101002480100000005000 0000063590002562   
0601SHA0d       20090101002485100000005000 0000063730002562   
0601SHA0d       20090101002490100000005000 0000063900002564   
0601SHA0d       20090101002495100000005000 0000064050002565   
0601SHA0d       20090101002500100000005000 0000064190002565   
0601SHA0d       20090101002505100000005000 0000064360002567   
0601SHA0d       20090101002510100000005000 0000064500002567   
0601SHA0d       20090101002515100000005000 0000064670002569   
0601SHA0d       20090101002520100000005000 0000064820002570   
0601SHA0d       20090101002525100000005000 0000064960002570   
0601SHA0d       20090101002530100000005000 0000065130002572   
0601SHA0d       20090101002535100000005000 0000065270002572   
0601SHA0d       20090101002540100000005000 0000065420002573   
0601SHA0d       20090101002545100000005000 0000065590002575   
