00OW               20081103                                                                                   
0601OWA1d       20090101000500100000005000 0100003880000772   
0601OWA1d       20090101000505100000005000 0100003960000780   
0601OWA1d       20090101000510100000005000 0100004020000784   
0601OWA1d       20090101000515100000005000 0100004090000790   
0601OWA1d       20090101000520100000005000 0100004160000796   
0601OWA1d       20090101000525100000005000 0100004240000804   
0601OWA1d       20090101000530100000005000 0100004300000808   
0601OWA1d       20090101000535100000005000 0100004370000813   
0601OWA1d       20090101000540100000005000 0100004440000818   
0601OWA1d       20090101000545100000005000 0100004500000822   
0601OWA1d       20090101000550100000005000 0100004580000829   
0601OWA1d       20090101000555100000005000 0100004650000834   
0601OWA1d       20090101000560100000005000 0100004720000839   
0601OWA1d       20090101000565100000005000 0100004790000844   
0601OWA1d       20090101000570100000005000 0100004870000851   
0601OWA1d       20090101000575100000005000 0100004940000855   
0601OWA1d       20090101000580100000005000 0100005000000858   
0601OWA1d       20090101000585100000005000 0100005070000863   
0601OWA1d       20090101000590100000005000 0100005140000868   
0601OWA1d       20090101000595100000005000 0100005220000874   
0601OWA1d       20090101000600100000005000 0100005290000878   
0601OWA1d       20090101000605100000005000 0100005360000882   
0601OWA1d       20090101000610100000005000 0100005420000885   
0601OWA1d       20090101000615100000005000 0100005500000891   
0601OWA1d       20090101000620100000005000 0100005570000895   
0601OWA1d       20090101000625100000005000 0100005640000899   
0601OWA1d       20090101000630100000005000 0100005710000903   
0601OWA1d       20090101000635100000005000 0100005780000907   
0601OWA1d       20090101000640100000005000 0100005860000912   
0601OWA1d       20090101000645100000005000 0100005930000916   
0601OWA1d       20090101000650100000005000 0100005990000918   
0601OWA1d       20090101000655100000005000 0100006060000922   
0601OWA1d       20090101000660100000005000 0100006140000927   
0601OWA1d       20090101000665100000005000 0100006210000930   
0601OWA1d       20090101000670100000005000 0100006280000934   
0601OWA1d       20090101000675100000005000 0100006350000937   
0601OWA1d       20090101000680100000005000 0100006410000939   
0601OWA1d       20090101000685100000005000 0100006490000944   
0601OWA1d       20090101000690100000005000 0100006560000947   
0601OWA1d       20090101000695100000005000 0100006630000951   
0601OWA1d       20090101000700100000005000 0100006700000954   
0601OWA1d       20090101000705100000005000 0100006780000958   
0601OWA1d       20090101000710100000005000 0100006850000961   
0601OWA1d       20090101000715100000005000 0100006910000963   
0601OWA1d       20090101000720100000005000 0100006990000967   
0601OWA1d       20090101000725100000005000 0100007070000972   
0601OWA1d       20090101000730100000005000 0100007160000977   
0601OWA1d       20090101000735100000005000 0100007240000982   
0601OWA1d       20090101000740100000005000 0100007320000986   
0601OWA1d       20090101000745100000005000 0100007400000990   
0601OWA1d       20090101000750100000005000 0100007490000995   
0601OWA1d       20090101000755100000005000 0100007580001001   
0601OWA1d       20090101000760100000005000 0100007660001005   
0601OWA1d       20090101000765100000005000 0100007740001008   
0601OWA1d       20090101000770100000005000 0100007820001012   
0601OWA1d       20090101000775100000005000 0100007910001017   
0601OWA1d       20090101000780100000005000 0100008000001022   
0601OWA1d       20090101000785100000005000 0100008080001026   
0601OWA1d       20090101000790100000005000 0100008160001030   
0601OWA1d       20090101000795100000005000 0100008250001034   
0601OWA1d       20090101000800100000005000 0100008340001039   
0601OWA1d       20090101000805100000005000 0100008420001043   
0601OWA1d       20090101000810100000005000 0100008500001046   
0601OWA1d       20090101000815100000005000 0100008580001050   
0601OWA1d       20090101000820100000005000 0100008680001055   
0601OWA1d       20090101000825100000005000 0100008760001059   
0601OWA1d       20090101000830100000005000 0100008840001062   
0601OWA1d       20090101000835100000005000 0100008920001065   
0601OWA1d       20090101000840100000005000 0100009020001071   
0601OWA1d       20090101000845100000005000 0100009100001074   
0601OWA1d       20090101000850100000005000 0100009180001077   
0601OWA1d       20090101000855100000005000 0100009260001080   
0601OWA1d       20090101000860100000005000 0100009350001084   
0601OWA1d       20090101000865100000005000 0100009440001088   
0601OWA1d       20090101000870100000005000 0100009530001092   
0601OWA1d       20090101000875100000005000 0100009610001095   
0601OWA1d       20090101000880100000005000 0100009690001098   
0601OWA1d       20090101000885100000005000 0100009780001102   
