00ZH               20071005                                                                                   
0601ZHA1d       20080101000720100000005000 0100005050000699   
0601ZHA1d       20080101000725100000005000 0100005140000707   
0601ZHA1d       20080101000730100000005000 0100005210000711   
0601ZHA1d       20080101000735100000005000 0100005280000716   
0601ZHA1d       20080101000740100000005000 0100005360000722   
0601ZHA1d       20080101000745100000005000 0100005430000726   
0601ZHA1d       20080101000750100000005000 0100005510000732   
0601ZHA1d       20080101000755100000005000 0100005580000737   
0601ZHA1d       20080101000760100000005000 0100005650000741   
0601ZHA1d       20080101000765100000005000 0100005730000747   
0601ZHA1d       20080101000770100000005000 0100005800000751   
0601ZHA1d       20080101000775100000005000 0100005890000758   
0601ZHA1d       20080101000780100000005000 0100005960000762   
0601ZHA1d       20080101000785100000005000 0100006050000768   
0601ZHA1d       20080101000790100000005000 0100006130000774   
0601ZHA1d       20080101000795100000005000 0100006210000779   
0601ZHA1d       20080101000800100000005000 0100006310000786   
0601ZHA1d       20080101000805100000005000 0100006390000791   
0601ZHA1d       20080101000810100000005000 0100006480000798   
0601ZHA1d       20080101000815100000005000 0100006560000802   
0601ZHA1d       20080101000820100000005000 0100006650000809   
0601ZHA1d       20080101000825100000005000 0100006740000815   
0601ZHA1d       20080101000830100000005000 0100006820000819   
0601ZHA1d       20080101000835100000005000 0100006920000826   
0601ZHA1d       20080101000840100000005000 0100007000000831   
0601ZHA1d       20080101000845100000005000 0100007100000838   
0601ZHA1d       20080101000850100000005000 0100007180000842   
0601ZHA1d       20080101000855100000005000 0100007270000848   
0601ZHA1d       20080101000860100000005000 0100007370000854   
0601ZHA1d       20080101000865100000005000 0100007450000859   
0601ZHA1d       20080101000870100000005000 0100007550000865   
0601ZHA1d       20080101000875100000005000 0100007640000871   
0601ZHA1d       20080101000880100000005000 0100007730000876   
0601ZHA1d       20080101000885100000005000 0100007830000882   
0601ZHA1d       20080101000890100000005000 0100007920000887   
0601ZHA1d       20080101000895100000005000 0100008030000895   
0601ZHA1d       20080101000900100000005000 0100008120000900   
0601ZHA1d       20080101000905100000005000 0100008210000905   
0601ZHA1d       20080101000910100000005000 0100008320000912   
0601ZHA1d       20080101000915100000005000 0100008410000917   
0601ZHA1d       20080101000920100000005000 0100008520000924   
0601ZHA1d       20080101000925100000005000 0100008610000928   
0601ZHA1d       20080101000930100000005000 0100008720000935   
0601ZHA1d       20080101000935100000005000 0100008810000940   
0601ZHA1d       20080101000940100000005000 0100008900000944   
0601ZHA1d       20080101000945100000005000 0100009010000951   
0601ZHA1d       20080101000950100000005000 0100009100000955   
0601ZHA1d       20080101000955100000005000 0100009210000962   
0601ZHA1d       20080101000960100000005000 0100009300000966   
0601ZHA1d       20080101000965100000005000 0100009390000971   
0601ZHA1d       20080101000970100000005000 0100009500000977   
0601ZHA1d       20080101000975100000005000 0100009590000981   
0601ZHA1d       20080101000980100000005000 0100009690000986   
0601ZHA1d       20080101000985100000005000 0100009790000991   
0601ZHA1d       20080101000990100000005000 0100009880000995   
0601ZHA1d       20080101000995100000005000 0100009990001002   
0601ZHA1d       20080101001000100000005000 0100010100001007   
0601ZHA1d       20080101001005100000005000 0100010200001012   
0601ZHA1d       20080101001010100000005000 0100010310001018   
0601ZHA1d       20080101001015100000005000 0100010420001024   
0601ZHA1d       20080101001020100000005000 0100010530001030   
0601ZHA1d       20080101001025100000005000 0100010630001035   
0601ZHA1d       20080101001030100000005000 0100010740001040   
0601ZHA1d       20080101001035100000005000 0100010850001046   
0601ZHA1d       20080101001040100000005000 0100010950001050   
0601ZHA1d       20080101001045100000005000 0100011060001056   
0601ZHA1d       20080101001050100000005000 0100011170001061   
0601ZHA1d       20080101001055100000005000 0100011280001067   
0601ZHA1d       20080101001060100000005000 0100011390001072   
0601ZHA1d       20080101001065100000005000 0100011500001077   
0601ZHA1d       20080101001070100000005000 0100011600001082   
