00UR               20081210                                                                                   
0601URA0d       20090101002535100000005000 0000049090001935   
0601URA0d       20090101002540100000005000 0000049200001935   
0601URA0d       20090101002545100000005000 0000049340001937   
0601URA0d       20090101002550100000005000 0000049460001938   
0601URA0d       20090101002555100000005000 0000049580001939   
0601URA0d       20090101002560100000005000 0000049720001940   
0601URA0d       20090101002565100000005000 0000049830001941   
0601URA0d       20090101002570100000005000 0000049970001942   
0601URA0d       20090101002575100000005000 0000050090001943   
0601URA0d       20090101002580100000005000 0000050200001944   
0601URA0d       20090101002585100000005000 0000050340001946   
0601URA0d       20090101002590100000005000 0000050460001946   
0601URA0d       20090101002595100000005000 0000050580001947   
0601URA0d       20090101002600100000005000 0000050720001949   
0601URA0d       20090101002605100000005000 0000050830001949   
0601URA0d       20090101002610100000005000 0000050970001951   
0601URA0d       20090101002615100000005000 0000051090001952   
0601URA0d       20090101002620100000005000 0000051210001953   
0601URA0d       20090101002625100000005000 0000051350001954   
0601URA0d       20090101002630100000005000 0000051460001955   
0601URA0d       20090101002635100000005000 0000051580001956   
0601URA0d       20090101002640100000005000 0000051720001957   
0601URA0d       20090101002645100000005000 0000051840001958   
0601URA0d       20090101002650100000005000 0000051950001959   
0601URA0d       20090101002655100000005000 0000052090001960   
0601URA0d       20090101002660100000005000 0000052210001961   
0601URA0d       20090101002665100000005000 0000052350001963   
0601URA0d       20090101002670100000005000 0000052460001963   
0601URA0d       20090101002675100000005000 0000052580001964   
0601URA0d       20090101002680100000005000 0000052720001965   
0601URA0d       20090101002685100000005000 0000052840001966   
0601URA0d       20090101002690100000005000 0000052950001967   
0601URA0d       20090101002695100000005000 0000053090001968   
0601URA0d       20090101002700100000005000 0000053210001969   
0601URA0d       20090101002705100000005000 0000053330001970   
0601URA0d       20090101002710100000005000 0000053470001971   
0601URA0d       20090101002715100000005000 0000053580001972   
0601URA0d       20090101002720100000005000 0000053720001973   
0601URA0d       20090101002725100000005000 0000053840001974   
0601URA0d       20090101002730100000005000 0000053960001975   
0601URA0d       20090101002735100000005000 0000054100001976   
0601URA0d       20090101002740100000005000 0000054210001977   
0601URA0d       20090101002745100000005000 0000054330001977   
0601URA0d       20090101002750100000005000 0000054470001979   
0601URA0d       20090101002755100000005000 0000054590001980   
0601URA0d       20090101002760100000005000 0000054730001981   
0601URA0d       20090101002765100000005000 0000054840001982   
0601URA0d       20090101002770100000005000 0000054960001982   
0601URA0d       20090101002775100000005000 0000055100001984   
