00TG               20081204                                                                                   
0601TGA1+       20090101000415100000005000 0100002590000620   
0601TGA1+       20090101000420100000005000 0100002680000634   
0601TGA1+       20090101000425100000005000 0100002780000650   
0601TGA1+       20090101000430100000005000 0100002880000666   
0601TGA1+       20090101000435100000005000 0100002980000681   
0601TGA1+       20090101000440100000005000 0100003080000696   
0601TGA1+       20090101000445100000005000 0100003180000711   
0601TGA1+       20090101000450100000005000 0100003280000725   
0601TGA1+       20090101000455100000005000 0100003370000737   
0601TGA1+       20090101000460100000005000 0100003470000750   
0601TGA1+       20090101000465100000005000 0100003570000764   
0601TGA1+       20090101000470100000005000 0100003670000777   
0601TGA1+       20090101000475100000005000 0100003770000790   
0601TGA1+       20090101000480100000005000 0100003870000802   
0601TGA1+       20090101000485100000005000 0100003970000814   
0601TGA1+       20090101000490100000005000 0100004060000824   
0601TGA1+       20090101000495100000005000 0100004170000838   
0601TGA1+       20090101000500100000005000 0100004270000850   
0601TGA1+       20090101000505100000005000 0100004380000863   
0601TGA1+       20090101000510100000005000 0100004480000874   
0601TGA1+       20090101000515100000005000 0100004590000887   
0601TGA1+       20090101000520100000005000 0100004700000900   
0601TGA1+       20090101000525100000005000 0100004820000914   
0601TGA1+       20090101000530100000005000 0100004910000922   
0601TGA1+       20090101000535100000005000 0100005020000934   
0601TGA1+       20090101000540100000005000 0100005120000944   
0601TGA1+       20090101000545100000005000 0100005230000955   
0601TGA1+       20090101000550100000005000 0100005330000965   
0601TGA1+       20090101000555100000005000 0100005440000976   
0601TGA1+       20090101000560100000005000 0100005540000985   
0601TGA1+       20090101000565100000005000 0100005630000992   
0601TGA1+       20090101000570100000005000 0100005740001003   
0601TGA1+       20090101000575100000005000 0100005840001011   
0601TGA1+       20090101000580100000005000 0100005950001021   
0601TGA1+       20090101000585100000005000 0100006050001030   
0601TGA1+       20090101000590100000005000 0100006160001040   
0601TGA1+       20090101000595100000005000 0100006270001049   
0601TGA1+       20090101000600100000005000 0100006350001054   
0601TGA1+       20090101000605100000005000 0100006460001063   
0601TGA1+       20090101000610100000005000 0100006560001071   
0601TGA1+       20090101000615100000005000 0100006670001080   
0601TGA1+       20090101000620100000005000 0100006780001089   
0601TGA1+       20090101000625100000005000 0100006880001096   
0601TGA1+       20090101000630100000005000 0100006990001105   
0601TGA1+       20090101000635100000005000 0100007100001114   
0601TGA1+       20090101000640100000005000 0100007190001119   
0601TGA1+       20090101000645100000005000 0100007300001127   
0601TGA1+       20090101000650100000005000 0100007400001134   
0601TGA1+       20090101000655100000005000 0100007510001142   
0601TGA1+       20090101000660100000005000 0100007620001150   
0601TGA1+       20090101000665100000005000 0100007720001157   
0601TGA1+       20090101000670100000005000 0100007830001164   
0601TGA1+       20090101000675100000005000 0100007910001168   
0601TGA1+       20090101000680100000005000 0100008020001175   
0601TGA1+       20090101000685100000005000 0100008120001181   
0601TGA1+       20090101000690100000005000 0100008220001187   
0601TGA1+       20090101000695100000005000 0100008330001194   
0601TGA1+       20090101000700100000005000 0100008430001200   
0601TGA1+       20090101000705100000005000 0100008530001206   
0601TGA1+       20090101000710100000005000 0100008620001210   
0601TGA1+       20090101000715100000005000 0100008720001215   
0601TGA1+       20090101000720100000005000 0100008820001221   
0601TGA1+       20090101000725100000005000 0100008930001227   
0601TGA1+       20090101000730100000005000 0100009040001234   
0601TGA1+       20090101000735100000005000 0100009150001241   
0601TGA1+       20090101000740100000005000 0100009260001247   
0601TGA1+       20090101000745100000005000 0100009370001254   
0601TGA1+       20090101000750100000005000 0100009460001257   
0601TGA1+       20090101000755100000005000 0100009570001263   
0601TGA1+       20090101000760100000005000 0100009680001270   
0601TGA1+       20090101000765100000005000 0100009790001276   
0601TGA1+       20090101000770100000005000 0100009900001282   
0601TGA1+       20090101000775100000005000 0100010010001287   
0601TGA1+       20090101000780100000005000 0100010120001293   
0601TGA1+       20090101000785100000005000 0100010210001297   
0601TGA1+       20090101000790100000005000 0100010340001305   
0601TGA1+       20090101000795100000005000 0100010460001312   
0601TGA1+       20090101000800100000005000 0100010580001318   
