00SO               20071026                                                                                   
0601SOA0+       20080101000525100000005000 0000006980001323   
0601SOA0+       20080101000530100000005000 0000007080001330   
0601SOA0+       20080101000535100000005000 0000007190001338   
0601SOA0+       20080101000540100000005000 0000007300001346   
0601SOA0+       20080101000545100000005000 0000007420001355   
0601SOA0+       20080101000550100000005000 0000007530001363   
0601SOA0+       20080101000555100000005000 0000007640001370   
0601SOA0+       20080101000560100000005000 0000007760001380   
0601SOA0+       20080101000565100000005000 0000007870001387   
0601SOA0+       20080101000570100000005000 0000007980001394   
0601SOA0+       20080101000575100000005000 0000008090001401   
0601SOA0+       20080101000580100000005000 0000008200001408   
0601SOA0+       20080101000585100000005000 0000008300001413   
0601SOA0+       20080101000590100000005000 0000008410001419   
0601SOA0+       20080101000595100000005000 0000008520001426   
0601SOA0+       20080101000600100000005000 0000008630001432   
0601SOA0+       20080101000605100000005000 0000008740001439   
0601SOA0+       20080101000610100000005000 0000008850001445   
0601SOA0+       20080101000615100000005000 0000008960001451   
0601SOA0+       20080101000620100000005000 0000009070001457   
0601SOA0+       20080101000625100000005000 0000009180001463   
0601SOA0+       20080101000630100000005000 0000009290001469   
0601SOA0+       20080101000635100000005000 0000009400001475   
0601SOA0+       20080101000640100000005000 0000009510001480   
0601SOA0+       20080101000645100000005000 0000009620001486   
0601SOA0+       20080101000650100000005000 0000009730001491   
0601SOA0+       20080101000655100000005000 0000009840001497   
0601SOA0+       20080101000660100000005000 0000009950001502   
0601SOA0+       20080101000665100000005000 0000010060001507   
0601SOA0+       20080101000670100000005000 0000010170001512   
0601SOA0+       20080101000675100000005000 0000010280001517   
0601SOA0+       20080101000680100000005000 0000010390001522   
0601SOA0+       20080101000685100000005000 0000010500001527   
0601SOA0+       20080101000690100000005000 0000010600001531   
0601SOA0+       20080101000695100000005000 0000010720001537   
0601SOA0+       20080101000700100000005000 0000010830001542   
0601SOA0+       20080101000705100000005000 0000010940001546   
0601SOA0+       20080101000710100000005000 0000011060001552   
0601SOA0+       20080101000715100000005000 0000011170001557   
0601SOA0+       20080101000720100000005000 0000011290001563   
0601SOA0+       20080101000725100000005000 0000011420001570   
0601SOA0+       20080101000730100000005000 0000011540001575   
0601SOA0+       20080101000735100000005000 0000011670001582   
0601SOA0+       20080101000740100000005000 0000011800001589   
0601SOA0+       20080101000745100000005000 0000011930001596   
0601SOA0+       20080101000750100000005000 0000012060001603   
0601SOA0+       20080101000755100000005000 0000012190001609   
0601SOA0+       20080101000760100000005000 0000012320001616   
0601SOA0+       20080101000765100000005000 0000012450001622   
0601SOA0+       20080101000770100000005000 0000012580001628   
0601SOA0+       20080101000775100000005000 0000012720001636   
0601SOA0+       20080101000780100000005000 0000012850001642   
0601SOA0+       20080101000785100000005000 0000012980001648   
0601SOA0+       20080101000790100000005000 0000013120001656   
0601SOA0+       20080101000795100000005000 0000013250001661   
0601SOA0+       20080101000800100000005000 0000013380001667   
0601SOA0+       20080101000805100000005000 0000013520001674   
0601SOA0+       20080101000810100000005000 0000013650001680   
0601SOA0+       20080101000815100000005000 0000013780001686   
0601SOA0+       20080101000820100000005000 0000013920001692   
0601SOA0+       20080101000825100000005000 0000014050001698   
0601SOA0+       20080101000830100000005000 0000014180001703   
0601SOA0+       20080101000835100000005000 0000014320001710   
0601SOA0+       20080101000840100000005000 0000014450001715   
0601SOA0+       20080101000845100000005000 0000014580001720   
0601SOA0+       20080101000850100000005000 0000014720001727   
0601SOA0+       20080101000855100000005000 0000014850001732   
0601SOA0+       20080101000860100000005000 0000014980001737   
0601SOA0+       20080101000865100000005000 0000015120001743   
0601SOA0+       20080101000870100000005000 0000015250001748   
0601SOA0+       20080101000875100000005000 0000015390001754   
0601SOA0+       20080101000880100000005000 0000015520001759   
0601SOA0+       20080101000885100000005000 0000015650001763   
0601SOA0+       20080101000890100000005000 0000015790001769   
0601SOA0+       20080101000895100000005000 0000015920001774   
0601SOA0+       20080101000900100000005000 0000016050001778   
0601SOA0+       20080101000905100000005000 0000016190001784   
0601SOA0+       20080101000910100000005000 0000016320001788   
0601SOA0+       20080101000915100000005000 0000016450001793   
0601SOA0+       20080101000920100000005000 0000016580001797   
0601SOA0+       20080101000925100000005000 0000016720001803   
0601SOA0+       20080101000930100000005000 0000016850001807   
0601SOA0+       20080101000935100000005000 0000016980001811   
0601SOA0+       20080101000940100000005000 0000017120001816   
0601SOA0+       20080101000945100000005000 0000017250001821   
0601SOA0+       20080101000950100000005000 0000017380001825   
0601SOA0+       20080101000955100000005000 0000017520001830   
0601SOA0+       20080101000960100000005000 0000017650001834   
0601SOA0+       20080101000965100000005000 0000017780001838   
0601SOA0+       20080101000970100000005000 0000017920001843   
0601SOA0+       20080101000975100000005000 0000018050001847   
0601SOA0+       20080101000980100000005000 0000018180001850   
0601SOA0+       20080101000985100000005000 0000018320001855   
0601SOA0+       20080101000990100000005000 0000018450001859   
0601SOA0+       20080101000995100000005000 0000018590001864   
0601SOA0+       20080101001000100000005000 0000018720001867   
0601SOA0+       20080101001005100000005000 0000018850001871   
0601SOA0+       20080101001010100000005000 0000018990001876   
0601SOA0+       20080101001015100000005000 0000019140001881   
0601SOA0+       20080101001020100000005000 0000019280001886   
0601SOA0+       20080101001025100000005000 0000019440001892   
0601SOA0+       20080101001030100000005000 0000019590001897   
0601SOA0+       20080101001035100000005000 0000019740001903   
0601SOA0+       20080101001040100000005000 0000019900001909   
0601SOA0+       20080101001045100000005000 0000020050001914   
0601SOA0+       20080101001050100000005000 0000020200001919   
0601SOA0+       20080101001055100000005000 0000020360001925   
0601SOA0+       20080101001060100000005000 0000020530001932   
0601SOA0+       20080101001065100000005000 0000020690001938   
0601SOA0+       20080101001070100000005000 0000020850001944   
0601SOA0+       20080101001075100000005000 0000021010001950   
0601SOA0+       20080101001080100000005000 0000021170001956   
0601SOA0+       20080101001085100000005000 0000021340001962   
0601SOA0+       20080101001090100000005000 0000021500001968   
0601SOA0+       20080101001095100000005000 0000021660001974   
